t_idx,time_label,component_idx,node_idx,node_label,eigenvalue,explained_variance_ratio,vector_value
0,2020-01,0,0,00_ACC_Accounts_Payable_DPT_Admin,0.0,0.0,0.0
0,2020-01,0,1,01_ACC_Accounts_Receivable_DPT_Admin,0.0,0.0,0.0
0,2020-01,0,2,02_ACC_COGS_DPT_Prod_A,0.0,0.0,0.0
0,2020-01,0,3,03_ACC_COGS_DPT_Prod_B,0.0,0.0,0.0
0,2020-01,0,4,04_ACC_Cash_DPT_Admin,0.0,0.0,0.0
0,2020-01,0,5,05_ACC_Finished_Goods_DPT_Prod_A,0.0,0.0,0.0
0,2020-01,0,6,06_ACC_Finished_Goods_DPT_Prod_B,0.0,0.0,0.0
0,2020-01,0,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,0.0,0.0,0.0
0,2020-01,0,8,08_ACC_Raw_Materials_DPT_Ops,0.0,0.0,0.0
0,2020-01,0,9,09_ACC_Sales_Revenue_DPT_Sales,0.0,0.0,0.0
0,2020-01,0,10,10_ACC_Work_In_Process_DPT_Prod_A,0.0,0.0,0.0
0,2020-01,0,11,11_ACC_Work_In_Process_DPT_Prod_B,0.0,0.0,0.0
0,2020-01,0,12,12_ACC_Cash,0.0,0.0,0.0
0,2020-01,0,13,13_ACC_Raw_Materials,0.0,0.0,0.0
0,2020-01,0,14,14_ACC_Finished_Goods,0.0,0.0,0.0
0,2020-01,0,15,15_ACC_Equity_Capital,0.0,0.0,0.0
0,2020-01,1,0,00_ACC_Accounts_Payable_DPT_Admin,0.0,0.0,0.0
0,2020-01,1,1,01_ACC_Accounts_Receivable_DPT_Admin,0.0,0.0,0.0
0,2020-01,1,2,02_ACC_COGS_DPT_Prod_A,0.0,0.0,0.0
0,2020-01,1,3,03_ACC_COGS_DPT_Prod_B,0.0,0.0,0.0
0,2020-01,1,4,04_ACC_Cash_DPT_Admin,0.0,0.0,0.0
0,2020-01,1,5,05_ACC_Finished_Goods_DPT_Prod_A,0.0,0.0,0.0
0,2020-01,1,6,06_ACC_Finished_Goods_DPT_Prod_B,0.0,0.0,0.0
0,2020-01,1,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,0.0,0.0,0.0
0,2020-01,1,8,08_ACC_Raw_Materials_DPT_Ops,0.0,0.0,0.0
0,2020-01,1,9,09_ACC_Sales_Revenue_DPT_Sales,0.0,0.0,0.0
0,2020-01,1,10,10_ACC_Work_In_Process_DPT_Prod_A,0.0,0.0,0.0
0,2020-01,1,11,11_ACC_Work_In_Process_DPT_Prod_B,0.0,0.0,0.0
0,2020-01,1,12,12_ACC_Cash,0.0,0.0,0.0
0,2020-01,1,13,13_ACC_Raw_Materials,0.0,0.0,0.0
0,2020-01,1,14,14_ACC_Finished_Goods,0.0,0.0,0.0
0,2020-01,1,15,15_ACC_Equity_Capital,0.0,0.0,0.0
