t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,0,4294.1000,1.9995,0.0000,0.0000
0,1,4273.1000,2.0000,0.0000,0.0000
0,2,4318.2400,1.9994,0.0000,0.0000
0,3,4305.9500,1.9998,0.0000,0.0000
0,4,4261.6700,1.9996,0.0000,0.0000
1,0,4975.0100,1.9998,0.1450,109.4850
1,1,5016.4700,1.9999,12.9450,45.4850
1,2,4974.1800,1.9999,46.1400,-120.4900
1,3,4978.8800,1.9997,42.0150,-99.8650
1,4,4999.0600,1.9997,8.9650,65.3850
2,0,5480.9200,1.9999,13.3436,56.0754
2,1,5484.9000,2.0000,12.9998,57.7943
2,2,5480.6000,1.9998,44.5644,-100.0286
2,3,5432.0900,1.9997,39.5112,-74.7623
2,4,5453.9500,1.9998,12.3744,60.9213
3,0,5622.8800,1.9997,14.6167,85.3924
3,1,5632.9800,1.9998,28.9694,13.6288
3,2,5636.8700,1.9998,38.7792,-35.4199
3,3,5610.9200,1.9999,34.2339,-12.6934
3,4,5663.2700,1.9997,41.8768,-50.9080
4,0,5425.0700,1.9998,31.5584,15.9012
4,1,5373.1300,2.0000,27.2912,37.2368
4,2,5467.4900,1.9997,44.7927,-50.2706
4,3,5472.3100,1.9999,30.8175,19.6053
4,4,5448.7200,1.9999,39.2331,-22.4728
5,0,5115.9700,2.0000,33.2386,7.9031
5,1,5143.9900,1.9998,27.9407,34.3924
5,2,5063.7900,1.9998,40.9651,-30.7294
5,3,5079.3800,1.9999,29.5271,26.4607
5,4,5064.5900,1.9999,42.4246,-38.0268
6,0,4710.8100,1.9999,32.6326,9.2138
6,1,4708.2000,1.9998,26.1630,41.5618
6,2,4663.1000,1.9997,44.9683,-52.4644
6,3,4617.7200,1.9998,29.3169,25.7923
6,4,4674.0700,1.9998,39.2961,-24.1034
7,0,4454.6300,1.9994,33.2079,6.3696
7,1,4452.8600,1.9999,26.5473,39.6725
7,2,4427.9600,1.9996,44.8668,-51.9251
7,3,4364.8900,1.9998,27.4879,34.9697
7,4,4444.7800,1.9996,40.2991,-29.0866
8,0,4286.2400,1.9994,31.3509,8.3999
8,1,4298.7900,1.9994,26.3749,33.2799
8,2,4313.6000,1.9993,42.8154,-48.9229
8,3,4308.2200,1.9996,26.0917,34.6956
8,4,4315.2900,1.9996,38.5214,-27.4526
9,0,4423.1500,1.9998,32.2414,2.0073
9,1,4432.6900,2.0000,25.3980,36.2243
9,2,4437.3200,2.0000,44.2498,-58.0347
9,3,4442.5200,1.9996,24.7583,39.4228
9,4,4411.9800,1.9999,36.5668,-19.6197
10,0,4493.1100,1.9998,31.4982,0.9873
10,1,4549.8200,1.9992,24.2431,37.2627
10,2,4572.7800,1.9998,43.1961,-57.5024
10,3,4576.4700,2.0000,23.9101,38.9278
10,4,4552.6000,1.9998,35.6307,-19.6754
11,0,4753.0100,1.9994,38.7931,-25.5704
11,1,4726.7600,1.9993,25.3462,41.6642
11,2,4739.8500,1.9999,42.4601,-43.9050
11,3,4789.9600,1.9995,25.0196,43.2975
11,4,4694.6200,1.9999,36.7763,-15.4863
12,0,4791.4600,1.9999,37.6414,-17.9561
12,1,4785.8500,1.9999,27.8871,30.8151
12,2,4743.4300,1.9999,45.3416,-56.4573
12,3,4767.1800,1.9999,24.0385,50.0584
12,4,4749.8200,1.9998,35.3422,-6.4601
13,0,4576.5400,1.9994,36.3826,-11.6829
13,1,4526.2300,1.9998,29.3520,23.4701
13,2,4577.1800,1.9999,44.5286,-52.4128
13,3,4473.0600,1.9997,25.5751,42.3546
13,4,4500.0500,1.9997,34.3918,-1.7292
14,0,3999.7800,1.9995,39.2813,-20.9678
14,1,4114.3900,1.9998,29.4500,28.1883
14,2,4009.9500,1.9998,43.0290,-39.7066
14,3,4060.0700,1.9993,27.2093,39.3921
14,4,4002.5100,1.9995,36.4689,-6.9061
15,0,3397.5000,1.9997,38.1643,-12.3611
15,1,3366.6200,1.9998,28.6123,35.3989
15,2,3345.7800,1.9992,43.8126,-40.6028
15,3,3395.1700,1.9994,26.4685,46.1177
